AhnLab V3 Mobile 2.0	com.ahnlab.msecurity2
AhnLab V3 Mobile Plus 2.0	com.ahnlab.v3mobileplus
avast! 모바일 시큐리티	com.avast.android.mobilesecurity
Norton Mobile Security	com.symantec.mobilesecurity
Norton Security	com.symantec.mobilesecurity.base
nProtect Mobile	com.inca.nprotect
V3 Mobile 2.0	com.android.ahnmobilesecurity
V3 Mobile+	com.android.ahnlabv3mobileplus
ViRobot Mobile 3S	com.hauri.VrmaPro3S
ViRobot Mobile Pro	com.hauri.VrmaPro
바이러스스캔 모바일	com.mcafee.vsmandroid
알약	com.estsoft.alyac
